train_mAP,valid_mAP,train_acc,valid_acc,train_loss
0.3392791874373395,0.3220836799950813,0.3338566195709053,0.3179916317991632,1.5141269286473593
0.37244875807432926,0.35202878221897055,0.3867085295656724,0.3598326359832636,1.2445185422897338
0.4200469535070397,0.38010045664350517,0.4610151753008896,0.41841004184100417,1.1899109522501627
0.4250667444270686,0.38787020754947715,0.46572475143903713,0.45188284518828453,1.1737180948257446
0.45251462688352573,0.4823011133552455,0.48194662480376765,0.4811715481171548,1.1452550172805787
0.4342501954081913,0.40959062828193293,0.478283621140764,0.4560669456066946,1.1499370018641153
0.4579659075779945,0.4651804617650468,0.5023547880690737,0.497907949790795,1.1445147434870402
0.43229421846997185,0.4523869051037087,0.4714809000523286,0.4476987447698745,1.1250279108683268
0.45926782006583583,0.5046026429761402,0.4897959183673469,0.4811715481171548,1.1159751415252686
0.4601741810486875,0.4983626517066331,0.49921507064364207,0.48535564853556484,1.1088274558385214
0.4656698543899024,0.4941529652823923,0.5054945054945055,0.5146443514644351,1.1105607986450194
0.46408280202713476,0.5011975810131296,0.5013082155939299,0.46443514644351463,1.1084908366203308
0.4654877000589186,0.5166799219584093,0.4903192046049189,0.4560669456066946,1.1089139382044475
0.470851842333899,0.5080163373559443,0.4924123495552067,0.4560669456066946,1.0923860232035318
0.46899352217584067,0.5154231051734869,0.4850863422291994,0.47280334728033474,1.0763286749521892
0.464698333356105,0.483499587989649,0.4908424908424908,0.5062761506276151,1.075258994102478
0.47063025447736756,0.48144709563971233,0.4981684981684982,0.4769874476987448,1.0750101407368977
0.4804693268386628,0.5041051469327051,0.5096807953950812,0.4895397489539749,1.0816840966542562
0.4773901830262917,0.5015870320760369,0.4981684981684982,0.4811715481171548,1.1060635010401407
0.4830759247020225,0.49928963372898727,0.511250654107797,0.5188284518828452,1.0864246408144633
0.4779152318031017,0.4794915800214734,0.49502878074306644,0.46443514644351463,1.0759814739227296
0.4859091958472659,0.46324475578405927,0.4955520669806384,0.4560669456066946,1.0840152581532796
0.4845384766106131,0.5112310982158303,0.48770277341705914,0.47280334728033474,1.079581626256307
0.48523374815904075,0.47062783343546144,0.4850863422291994,0.4560669456066946,1.0911734501520793
0.4754820779187048,0.48164840651082547,0.5028780743066458,0.4895397489539749,1.0719971060752869
0.473263707541088,0.48464618214714444,0.49921507064364207,0.4811715481171548,1.0705254991849265
0.478049749538892,0.4909480900109152,0.5013082155939299,0.5062761506276151,1.0766484936078389
0.4749419091529875,0.4791164921345308,0.5149136577708007,0.4686192468619247,1.0708009163538614
0.488641142753812,0.49092828903457797,0.49607535321821034,0.4560669456066946,1.0678720712661742
0.48701630778689564,0.47796087805213405,0.5070643642072213,0.4686192468619247,1.0718263030052184
0.49321408728517463,0.5118072628435936,0.5128205128205128,0.502092050209205,1.0677230477333068
0.4712207426564565,0.493798968154606,0.5049712192569336,0.48535564853556484,1.0727954109509785
0.4895609897749549,0.5004500913951253,0.48822605965463106,0.4686192468619247,1.0677116473515829
0.4900903932507978,0.504650331878592,0.521716378859236,0.4769874476987448,1.0666913866996766
0.48883331920953765,0.49702134304298917,0.5159602302459445,0.49372384937238495,1.0606407682100931
0.49058735455550495,0.515190573315931,0.5007849293563579,0.4769874476987448,1.0634403109550477
0.5070823588754572,0.5165485027941591,0.521193092621664,0.5146443514644351,1.0690669973691305
0.4922614509575196,0.48380382616766415,0.48822605965463106,0.48535564853556484,1.0485193490982057
0.4958367051388619,0.4588054896610554,0.4924123495552067,0.4602510460251046,1.0704606612523397
0.4729555604444975,0.46381432776044157,0.4976452119309262,0.45188284518828453,1.0544877807299295
0.4829512040982534,0.4992001977999472,0.5117739403453689,0.48535564853556484,1.0634029269218446
0.4797472850245612,0.5080231344196149,0.5039246467817896,0.497907949790795,1.0689597487449647
0.500602753245589,0.509546920979833,0.5091575091575091,0.502092050209205,1.04336891969045
0.4926795839132718,0.4724973016524674,0.47619047619047616,0.4602510460251046,1.0588018616040549
0.4829622732144606,0.49397350400503715,0.5243328100470958,0.5439330543933054,1.0563252449035645
0.4880260190156327,0.4822956337915392,0.5023547880690737,0.4769874476987448,1.0446538964907328
0.4878903712088869,0.4724173317191144,0.4924123495552067,0.5062761506276151,1.0583343942960104
0.49381482249569847,0.48358655306354353,0.5149136577708007,0.502092050209205,1.0476853251457214
0.49953675126893843,0.4895515251457113,0.5159602302459445,0.497907949790795,1.04794553120931
0.5007014128587923,0.49455179270116656,0.5164835164835165,0.5230125523012552,1.0489953438440958
0.5041173536982152,0.4943091087574868,0.5201465201465202,0.5230125523012552,1.0349052667617797
0.5100688335885195,0.4913771820685499,0.5154369440083726,0.5230125523012552,1.042860225836436
0.513838360272914,0.48767909277540755,0.5196232339089482,0.5271966527196653,1.0381330728530884
0.49858142012612455,0.46888401317305717,0.49398220826792255,0.497907949790795,1.0451332529385884
0.5261640015761757,0.5156807017453774,0.5300889586603872,0.5188284518828452,1.0321951071421305
0.5081957461793359,0.4822923548331276,0.5086342229199372,0.5271966527196653,1.0530905365943908
0.509991531337599,0.46818801560453904,0.5175300889586604,0.4769874476987448,1.0336181084314982
0.5170692898178619,0.4833948945656379,0.5070643642072213,0.4476987447698745,1.0464249809583028
0.5113495503199382,0.4607398381102593,0.4986917844060701,0.47280334728033474,1.0376455783843994
0.516687579812652,0.49946303482437904,0.5243328100470958,0.4895397489539749,1.0409760316212973
0.5340274307109971,0.5088625291340594,0.5243328100470958,0.497907949790795,1.024696457386017
0.5236627391026535,0.4998680132463162,0.5122972265829409,0.47280334728033474,1.0222009380658468
0.5221180911996142,0.513296751867281,0.5238095238095238,0.48535564853556484,1.0246074358622232
0.533190303980281,0.505020582366301,0.5300889586603872,0.46443514644351463,1.029774558544159
0.5358656717594522,0.4949960384142576,0.5279958137100994,0.47280334728033474,1.0238796949386597
0.5141357139010964,0.4685823251401425,0.5133437990580848,0.4560669456066946,1.030706246693929
0.5129813593949439,0.4674674581883942,0.5180533751962323,0.45188284518828453,1.029813043276469
0.5373104704701873,0.4918561359073016,0.5201465201465202,0.4602510460251046,1.0124439597129822
0.5137712097150787,0.47536482481513764,0.5232862375719518,0.4602510460251046,1.027342967192332
0.5518759208952793,0.4896613041601774,0.5347985347985348,0.5188284518828452,1.028466260433197
0.5503777602919433,0.4995836635390172,0.5421245421245421,0.4602510460251046,1.0219029784202576
0.5439932677102273,0.4822217229152113,0.522239665096808,0.4560669456066946,1.0162139892578126
0.5397963168083342,0.46716676471286844,0.5379382522239665,0.46443514644351463,1.0062034328778584
0.542090381093093,0.5022600041770109,0.5290423861852434,0.46443514644351463,1.0396768172581992
0.5378611843462738,0.48900889277227005,0.532705389848247,0.4560669456066946,1.0210585753122965
0.5558223291190336,0.4820097884122751,0.5457875457875457,0.46443514644351463,1.0038966337839763
0.5240113627385572,0.48390167150070673,0.5253793825222397,0.47280334728033474,1.0069321393966675
0.560008776568976,0.5105869094113794,0.5426478283621141,0.502092050209205,1.0067951361338296
0.5679416032569164,0.535348490115792,0.532705389848247,0.46443514644351463,1.016183892885844
0.5360184468288571,0.481306394616834,0.5180533751962323,0.4435146443514644,1.0067143837610881
0.5412482760239208,0.5216829960993538,0.543694400837258,0.4769874476987448,1.0120643337567647
0.5665764221117083,0.48429757277007446,0.5374149659863946,0.4435146443514644,1.0060279369354248
0.5627364594899426,0.49795654485283175,0.532705389848247,0.4309623430962343,0.9962366501490275
0.5317938742868044,0.47352173418360005,0.5201465201465202,0.4560669456066946,1.0176901340484619
0.5813533342184696,0.5090063871921949,0.5405546834118262,0.4895397489539749,1.0048732916514078
0.5653405151525427,0.501639676089956,0.5400313971742543,0.4769874476987448,0.9925581177075704
0.5514192001381798,0.49941255845121546,0.5363683935112507,0.4560669456066946,1.0038920919100442
0.5567380994479707,0.482283643112383,0.5368916797488226,0.4769874476987448,0.993143359820048
0.5767436551836773,0.5307896467761052,0.5478806907378336,0.4895397489539749,1.002459450562795
0.574961069445703,0.5331191674062086,0.5353218210361067,0.5062761506276151,0.9896703958511353
0.5848558199231897,0.5407898283621901,0.5531135531135531,0.48535564853556484,0.9910240968068441
0.5861632065078929,0.5021277127861277,0.54421768707483,0.4309623430962343,0.9930202007293701
0.5945222583034309,0.5237665808500482,0.5620094191522763,0.48535564853556484,0.9990004142125447
0.5542712100552007,0.5077108508448863,0.5363683935112507,0.4602510460251046,0.982087004184723
0.598395426175818,0.5410640590813532,0.5552066980638409,0.4895397489539749,0.9845269401868184
0.5577696940426797,0.46844182869512796,0.5347985347985348,0.42677824267782427,0.987329359849294
0.572205158499511,0.48860519367877525,0.5525902668759811,0.47280334728033474,0.9950204928716023
0.5829704034534932,0.4776209167442543,0.5421245421245421,0.4602510460251046,0.9828119993209838
0.5801479556592076,0.5028436603999915,0.510727367870225,0.4476987447698745,0.9914377371470133
0.6198516613193478,0.5443593824444151,0.5724751439037153,0.46443514644351463,0.9831085840861002
